Animation,Rendering job (geometry),Instance type (geometry),Rendering job (pre),Instance type (pre),Rendering job (final),Instance type (final),Scene type,Notes,Any good views of scene?
ai_010_008_cam_00,ai_010_008@scene_cam_00_geometry,large,ai_010_008@scene_cam_00_pre,2xlarge,ai_010_008@scene_cam_00_final,9xlarge,Living room,,
ai_010_009_cam_00,ai_010_009@scene_cam_00_geometry,large,ai_010_009@scene_cam_00_pre,2xlarge,ai_010_009@scene_cam_00_final,9xlarge,Bathroom,,
ai_010_009_cam_01,ai_010_009@scene_cam_01_geometry,large,ai_010_009@scene_cam_01_pre,2xlarge,ai_010_009@scene_cam_01_final,9xlarge,Bathroom,,
ai_010_009_cam_02,ai_010_009@scene_cam_02_geometry,large,ai_010_009@scene_cam_02_pre,2xlarge,ai_010_009@scene_cam_02_final,9xlarge,Bedroom,,
ai_011_001_cam_00,ai_011_001@scene_cam_00_geometry,large,ai_011_001@scene_cam_00_pre,2xlarge,ai_011_001@scene_cam_00_final,9xlarge,Living room,,
ai_011_003_cam_00,ai_011_003@scene_cam_00_geometry,large,ai_011_003@scene_cam_00_pre,2xlarge,ai_011_003@scene_cam_00_final,9xlarge,OUTSIDE VIEWING AREA (BAD TRAJECTORY),,
ai_011_003_cam_01,ai_011_003@scene_cam_01_geometry,large,ai_011_003@scene_cam_01_pre,2xlarge,ai_011_003@scene_cam_01_final,9xlarge,Living room,,
ai_011_004_cam_00,ai_011_004@scene_cam_00_geometry,large,ai_011_004@scene_cam_00_pre,2xlarge,ai_011_004@scene_cam_00_final,9xlarge,Transit station,Airport,
ai_011_004_cam_01,ai_011_004@scene_cam_01_geometry,large,ai_011_004@scene_cam_01_pre,2xlarge,ai_011_004@scene_cam_01_final,9xlarge,Transit station,Airport,
ai_011_005_cam_00,ai_011_005@scene_cam_00_geometry,large,ai_011_005@scene_cam_00_pre,2xlarge,ai_011_005@scene_cam_00_final,9xlarge,Dining room,,
ai_011_005_cam_01,ai_011_005@scene_cam_01_geometry,large,ai_011_005@scene_cam_01_pre,2xlarge,ai_011_005@scene_cam_01_final,9xlarge,Dining room,,
ai_011_006_cam_00,ai_011_006@scene_cam_00_geometry,large,ai_011_006@scene_cam_00_pre,2xlarge,ai_011_006@scene_cam_00_final,9xlarge,Dining room,,
ai_011_006_cam_01,ai_011_006@scene_cam_01_geometry,large,ai_011_006@scene_cam_01_pre,2xlarge,ai_011_006@scene_cam_01_final,9xlarge,Dining room,,
ai_011_007_cam_00,ai_011_007@scene_cam_00_geometry,large,ai_011_007@scene_cam_00_pre,2xlarge,ai_011_007@scene_cam_00_final,9xlarge,Living room,,
ai_011_007_cam_01,ai_011_007@scene_cam_01_geometry,large,ai_011_007@scene_cam_01_pre,2xlarge,ai_011_007@scene_cam_01_final,9xlarge,Living room,,
ai_011_008_cam_00,ai_011_008@scene_cam_00_geometry,large,ai_011_008@scene_cam_00_pre,2xlarge,ai_011_008@scene_cam_00_final,9xlarge,Living room,,
ai_011_008_cam_01,ai_011_008@scene_cam_01_geometry,large,ai_011_008@scene_cam_01_pre,2xlarge,ai_011_008@scene_cam_01_final,9xlarge,Living room,,
ai_011_009_cam_00,ai_011_009@scene_cam_00_geometry,large,ai_011_009@scene_cam_00_pre,2xlarge,ai_011_009@scene_cam_00_final,9xlarge,Bathroom,,
ai_011_009_cam_01,ai_011_009@scene_cam_01_geometry,large,ai_011_009@scene_cam_01_pre,2xlarge,ai_011_009@scene_cam_01_final,9xlarge,Bathroom,,
ai_011_010_cam_00,ai_011_010@scene_cam_00_geometry,large,ai_011_010@scene_cam_00_pre,2xlarge,ai_011_010@scene_cam_00_final,9xlarge,Restaurant,,
ai_012_001_cam_00,ai_012_001@scene_cam_00_geometry,large,ai_012_001@scene_cam_00_pre,2xlarge,ai_012_001@scene_cam_00_final,9xlarge,Kitchen,,
ai_012_002_cam_00,ai_012_002@scene_cam_00_geometry,large,ai_012_002@scene_cam_00_pre,2xlarge,ai_012_002@scene_cam_00_final,9xlarge,OUTSIDE VIEWING AREA (BAD TRAJECTORY),,No
ai_012_003_cam_00,ai_012_003@scene_cam_00_geometry,large,ai_012_003@scene_cam_00_pre,2xlarge,ai_012_003@scene_cam_00_final,9xlarge,OUTSIDE VIEWING AREA (BAD TRAJECTORY),,No
ai_012_004_cam_00,ai_012_004@scene_cam_00_geometry,large,ai_012_004@scene_cam_00_pre,2xlarge,ai_012_004@scene_cam_00_final,9xlarge,Kitchen,,
ai_012_005_cam_00,ai_012_005@scene_cam_00_geometry,large,ai_012_005@scene_cam_00_pre,2xlarge,ai_012_005@scene_cam_00_final,9xlarge,Living room,,
ai_012_006_cam_00,ai_012_006@scene_cam_00_geometry,large,ai_012_006@scene_cam_00_pre,2xlarge,ai_012_006@scene_cam_00_final,9xlarge,OUTSIDE VIEWING AREA (BAD TRAJECTORY),,No
ai_012_007_cam_00,ai_012_007@scene_cam_00_geometry,large,ai_012_007@scene_cam_00_pre,2xlarge,ai_012_007@scene_cam_00_final,9xlarge,OUTSIDE VIEWING AREA (BAD TRAJECTORY),,
ai_012_007_cam_01,ai_012_007@scene_cam_01_geometry,large,ai_012_007@scene_cam_01_pre,2xlarge,ai_012_007@scene_cam_01_final,9xlarge,Dining room,,
ai_012_008_cam_00,ai_012_008@scene_cam_00_geometry,large,ai_012_008@scene_cam_00_pre,2xlarge,ai_012_008@scene_cam_00_final,9xlarge,OUTSIDE VIEWING AREA (BAD TRAJECTORY),,No
ai_012_009_cam_00,ai_012_009@scene_cam_00_geometry,large,ai_012_009@scene_cam_00_pre,2xlarge,ai_012_009@scene_cam_00_final,9xlarge,Living room,,
ai_012_010_cam_00,ai_012_010@scene_cam_00_geometry,large,ai_012_010@scene_cam_00_pre,2xlarge,ai_012_010@scene_cam_00_final,9xlarge,Restaurant,,
ai_013_001_cam_00,ai_013_001@scene_cam_00_geometry,large,ai_013_001@scene_cam_00_pre,2xlarge,ai_013_001@scene_cam_00_final,9xlarge,Other,Colosseum (outdoor),
ai_013_001_cam_01,ai_013_001@scene_cam_01_geometry,large,ai_013_001@scene_cam_01_pre,2xlarge,ai_013_001@scene_cam_01_final,9xlarge,Other,Colosseum (outdoor),
ai_013_002_cam_00,ai_013_002@scene_cam_00_geometry,large,ai_013_002@scene_cam_00_pre,2xlarge,ai_013_002@scene_cam_00_final,9xlarge,Hallway,Hallway (old academic building),
ai_013_002_cam_01,ai_013_002@scene_cam_01_geometry,large,ai_013_002@scene_cam_01_pre,2xlarge,ai_013_002@scene_cam_01_final,9xlarge,Hallway,Hallway (old academic building),
ai_013_003_cam_00,ai_013_003@scene_cam_00_geometry,large,ai_013_003@scene_cam_00_pre,2xlarge,ai_013_003@scene_cam_00_final,9xlarge,Office (building foyer),,
ai_013_004_cam_00,ai_013_004@scene_cam_00_geometry,large,ai_013_004@scene_cam_00_pre,2xlarge,ai_013_004@scene_cam_00_final,9xlarge,Office,,
ai_013_005_cam_00,ai_013_005@scene_cam_00_geometry,large,ai_013_005@scene_cam_00_pre,2xlarge,ai_013_005@scene_cam_00_final,9xlarge,Hallway,Hallway (outdoor train station),
ai_013_006_cam_00,ai_013_006@scene_cam_00_geometry,large,ai_013_006@scene_cam_00_pre,2xlarge,ai_013_006@scene_cam_00_final,9xlarge,Retail space,,
ai_013_007_cam_00,ai_013_007@scene_cam_00_geometry,large,ai_013_007@scene_cam_00_pre,2xlarge,ai_013_007@scene_cam_00_final,9xlarge,Living room,,
ai_013_008_cam_00,ai_013_008@scene_cam_00_geometry,large,ai_013_008@scene_cam_00_pre,2xlarge,ai_013_008@scene_cam_00_final,9xlarge,OUTSIDE VIEWING AREA (BAD TRAJECTORY),,No
ai_013_009_cam_00,ai_013_009@scene_cam_00_geometry,large,ai_013_009@scene_cam_00_pre,2xlarge,ai_013_009@scene_cam_00_final,9xlarge,Restaurant,,
ai_013_010_cam_00,ai_013_010@scene_cam_00_geometry,large,ai_013_010@scene_cam_00_pre,2xlarge,ai_013_010@scene_cam_00_final,9xlarge,Living room,,
ai_014_001_cam_00,ai_014_001@scene_cam_00_geometry,large,ai_014_001@scene_cam_00_pre,2xlarge,ai_014_001@scene_cam_00_final,9xlarge,OUTSIDE VIEWING AREA (BAD TRAJECTORY),,No
ai_014_002_cam_00,ai_014_002@scene_cam_00_geometry,large,ai_014_002@scene_cam_00_pre,2xlarge,ai_014_002@scene_cam_00_final,9xlarge,OUTSIDE VIEWING AREA (BAD TRAJECTORY),,No
ai_014_003_cam_00,ai_014_003@scene_cam_00_geometry,large,ai_014_003@scene_cam_00_pre,2xlarge,ai_014_003@scene_cam_00_final,9xlarge,Living room,,
ai_014_004_cam_00,ai_014_004@scene_cam_00_geometry,large,ai_014_004@scene_cam_00_pre,2xlarge,ai_014_004@scene_cam_00_final,9xlarge,OUTSIDE VIEWING AREA (BAD TRAJECTORY),,No
ai_014_005_cam_00,ai_014_005@scene_cam_00_geometry,large,ai_014_005@scene_cam_00_pre,2xlarge,ai_014_005@scene_cam_00_final,9xlarge,OUTSIDE VIEWING AREA (BAD TRAJECTORY),,No
ai_014_006_cam_00,ai_014_006@scene_cam_00_geometry,large,ai_014_006@scene_cam_00_pre,2xlarge,ai_014_006@scene_cam_00_final,9xlarge,Bedroom,,
ai_014_008_cam_00,ai_014_008@scene_cam_00_geometry,large,ai_014_008@scene_cam_00_pre,2xlarge,ai_014_008@scene_cam_00_final,9xlarge,OUTSIDE VIEWING AREA (BAD TRAJECTORY),,No
ai_014_009_cam_00,ai_014_009@scene_cam_00_geometry,large,ai_014_009@scene_cam_00_pre,2xlarge,ai_014_009@scene_cam_00_final,9xlarge,OUTSIDE VIEWING AREA (BAD TRAJECTORY),,No
ai_014_010_cam_00,ai_014_010@scene_cam_00_geometry,large,ai_014_010@scene_cam_00_pre,2xlarge,ai_014_010@scene_cam_00_final,9xlarge,Living room,,
ai_015_001_cam_00,ai_015_001@scene_cam_00_geometry,large,ai_015_001@scene_cam_00_pre,2xlarge,ai_015_001@scene_cam_00_final,9xlarge,Kitchen,,
ai_015_003_cam_00,ai_015_003@scene_cam_00_geometry,large,ai_015_003@scene_cam_00_pre,2xlarge,ai_015_003@scene_cam_00_final,9xlarge,Kitchen,,
ai_015_004_cam_00,ai_015_004@scene_cam_00_geometry,large,ai_015_004@scene_cam_00_pre,2xlarge,ai_015_004@scene_cam_00_final,9xlarge,Kitchen,,
ai_015_005_cam_00,ai_015_005@scene_cam_00_geometry,large,ai_015_005@scene_cam_00_pre,2xlarge,ai_015_005@scene_cam_00_final,9xlarge,Office (home),,
ai_015_006_cam_00,ai_015_006@scene_cam_00_geometry,large,ai_015_006@scene_cam_00_pre,2xlarge,ai_015_006@scene_cam_00_final,9xlarge,Living room,Unrealistic materials,
ai_015_007_cam_00,ai_015_007@scene_cam_00_geometry,large,ai_015_007@scene_cam_00_pre,2xlarge,ai_015_007@scene_cam_00_final,9xlarge,Bedroom,Copyrighted material (posters on wall),
ai_015_008_cam_00,ai_015_008@scene_cam_00_geometry,large,ai_015_008@scene_cam_00_pre,2xlarge,ai_015_008@scene_cam_00_final,9xlarge,Bathroom,,
ai_015_009_cam_00,ai_015_009@scene_cam_00_geometry,large,ai_015_009@scene_cam_00_pre,2xlarge,ai_015_009@scene_cam_00_final,9xlarge,Bathroom,,
ai_015_010_cam_00,ai_015_010@scene_cam_00_geometry,large,ai_015_010@scene_cam_00_pre,2xlarge,ai_015_010@scene_cam_00_final,9xlarge,Living room,,
ai_016_001_cam_00,ai_016_001@scene_cam_00_geometry,large,ai_016_001@scene_cam_00_pre,2xlarge,ai_016_001@scene_cam_00_final,9xlarge,OUTSIDE VIEWING AREA (BAD INITIALIZATION),,
ai_016_001_cam_01,ai_016_001@scene_cam_01_geometry,large,ai_016_001@scene_cam_01_pre,2xlarge,ai_016_001@scene_cam_01_final,9xlarge,Office (home),,
ai_016_002_cam_00,ai_016_002@scene_cam_00_geometry,large,ai_016_002@scene_cam_00_pre,2xlarge,ai_016_002@scene_cam_00_final,9xlarge,Restaurant,,
ai_016_003_cam_00,ai_016_003@scene_cam_00_geometry,large,ai_016_003@scene_cam_00_pre,2xlarge,ai_016_003@scene_cam_00_final,9xlarge,Living room,,
ai_016_003_cam_01,ai_016_003@scene_cam_01_geometry,large,ai_016_003@scene_cam_01_pre,2xlarge,ai_016_003@scene_cam_01_final,9xlarge,Living room,,
ai_016_004_cam_00,ai_016_004@scene_cam_00_geometry,2xlarge,ai_016_004@scene_cam_00_pre,2xlarge,ai_016_004@scene_cam_00_final,9xlarge,Hallway,,
ai_016_005_cam_00,ai_016_005@scene_cam_00_geometry,large,ai_016_005@scene_cam_00_pre,2xlarge,ai_016_005@scene_cam_00_final,9xlarge,Hallway,Hallway (outdoor),
ai_016_006_cam_00,ai_016_006@scene_cam_00_geometry,large,ai_016_006@scene_cam_00_pre,2xlarge,ai_016_006@scene_cam_00_final,9xlarge,Kitchen,,
ai_016_007_cam_00,ai_016_007@scene_cam_00_geometry,large,ai_016_007@scene_cam_00_pre,2xlarge,ai_016_007@scene_cam_00_final,9xlarge,Bathroom,,
ai_016_008_cam_00,ai_016_008@scene_cam_00_geometry,large,ai_016_008@scene_cam_00_pre,2xlarge,ai_016_008@scene_cam_00_final,9xlarge,OUTSIDE VIEWING AREA (BAD TRAJECTORY),,No
ai_016_009_cam_00,ai_016_009@scene_cam_00_geometry,large,ai_016_009@scene_cam_00_pre,2xlarge,ai_016_009@scene_cam_00_final,9xlarge,Library,,
ai_016_009_cam_01,ai_016_009@scene_cam_01_geometry,large,ai_016_009@scene_cam_01_pre,2xlarge,ai_016_009@scene_cam_01_final,9xlarge,Library,,
ai_016_009_cam_02,ai_016_009@scene_cam_02_geometry,large,ai_016_009@scene_cam_02_pre,2xlarge,ai_016_009@scene_cam_02_final,9xlarge,Library,,
ai_016_009_cam_03,ai_016_009@scene_cam_03_geometry,large,ai_016_009@scene_cam_03_pre,2xlarge,ai_016_009@scene_cam_03_final,9xlarge,Library,,
ai_016_009_cam_04,ai_016_009@scene_cam_04_geometry,large,ai_016_009@scene_cam_04_pre,2xlarge,ai_016_009@scene_cam_04_final,9xlarge,Library,,
ai_016_009_cam_05,ai_016_009@scene_cam_05_geometry,large,ai_016_009@scene_cam_05_pre,2xlarge,ai_016_009@scene_cam_05_final,9xlarge,Library,,
ai_016_010_cam_00,ai_016_010@scene_cam_00_geometry,large,ai_016_010@scene_cam_00_pre,2xlarge,ai_016_010@scene_cam_00_final,9xlarge,Living room,,
ai_017_001_cam_00,ai_017_001@scene_cam_00_geometry,large,ai_017_001@scene_cam_00_pre,2xlarge,ai_017_001@scene_cam_00_final,9xlarge,Living room,,
ai_017_002_cam_00,ai_017_002@scene_cam_00_geometry,large,ai_017_002@scene_cam_00_pre,2xlarge,ai_017_002@scene_cam_00_final,9xlarge,Living room,,
ai_017_003_cam_00,ai_017_003@scene_cam_00_geometry,large,ai_017_003@scene_cam_00_pre,2xlarge,ai_017_003@scene_cam_00_final,9xlarge,Restaurant,,
ai_017_004_cam_00,ai_017_004@scene_cam_00_geometry,large,ai_017_004@scene_cam_00_pre,2xlarge,ai_017_004@scene_cam_00_final,9xlarge,Restaurant,,
ai_017_005_cam_00,ai_017_005@scene_cam_00_geometry,large,ai_017_005@scene_cam_00_pre,2xlarge,ai_017_005@scene_cam_00_final,9xlarge,Living room,,
ai_017_006_cam_00,ai_017_006@scene_cam_00_geometry,large,ai_017_006@scene_cam_00_pre,2xlarge,ai_017_006@scene_cam_00_final,9xlarge,Bedroom,,
ai_017_007_cam_00,ai_017_007@scene_cam_00_geometry,large,ai_017_007@scene_cam_00_pre,2xlarge,ai_017_007@scene_cam_00_final,9xlarge,Living room,,
ai_017_007_cam_01,ai_017_007@scene_cam_01_geometry,large,ai_017_007@scene_cam_01_pre,2xlarge,ai_017_007@scene_cam_01_final,9xlarge,Living room,,
ai_017_008_cam_00,ai_017_008@scene_cam_00_geometry,large,ai_017_008@scene_cam_00_pre,2xlarge,ai_017_008@scene_cam_00_final,9xlarge,Retail space,,
ai_017_008_cam_01,ai_017_008@scene_cam_01_geometry,large,ai_017_008@scene_cam_01_pre,2xlarge,ai_017_008@scene_cam_01_final,9xlarge,Retail space,,
ai_017_008_cam_02,ai_017_008@scene_cam_02_geometry,large,ai_017_008@scene_cam_02_pre,2xlarge,ai_017_008@scene_cam_02_final,9xlarge,Retail space,,
ai_017_008_cam_03,ai_017_008@scene_cam_03_geometry,large,ai_017_008@scene_cam_03_pre,2xlarge,ai_017_008@scene_cam_03_final,9xlarge,Retail space,,
ai_017_009_cam_00,ai_017_009@scene_cam_00_geometry,large,ai_017_009@scene_cam_00_pre,2xlarge,ai_017_009@scene_cam_00_final,9xlarge,Dining room,,
ai_017_009_cam_01,ai_017_009@scene_cam_01_geometry,large,ai_017_009@scene_cam_01_pre,2xlarge,ai_017_009@scene_cam_01_final,9xlarge,OUTSIDE VIEWING AREA (BAD INITIALIZATION),,
ai_017_009_cam_02,ai_017_009@scene_cam_02_geometry,large,ai_017_009@scene_cam_02_pre,2xlarge,ai_017_009@scene_cam_02_final,9xlarge,Dining room,,
ai_017_009_cam_03,ai_017_009@scene_cam_03_geometry,large,ai_017_009@scene_cam_03_pre,2xlarge,ai_017_009@scene_cam_03_final,9xlarge,Living room,,
ai_017_010_cam_00,ai_017_010@scene_cam_00_geometry,large,ai_017_010@scene_cam_00_pre,2xlarge,ai_017_010@scene_cam_00_final,9xlarge,Kitchen,,
ai_017_010_cam_01,ai_017_010@scene_cam_01_geometry,large,ai_017_010@scene_cam_01_pre,2xlarge,ai_017_010@scene_cam_01_final,9xlarge,Kitchen,,
ai_017_010_cam_02,ai_017_010@scene_cam_02_geometry,large,ai_017_010@scene_cam_02_pre,2xlarge,ai_017_010@scene_cam_02_final,9xlarge,Kitchen,,
ai_017_010_cam_03,ai_017_010@scene_cam_03_geometry,large,ai_017_010@scene_cam_03_pre,2xlarge,ai_017_010@scene_cam_03_final,9xlarge,Kitchen,,
ai_018_001_cam_00,ai_018_001@scene_cam_00_geometry,large,ai_018_001@scene_cam_00_pre,2xlarge,ai_018_001@scene_cam_00_final,9xlarge,Living room,,
ai_018_001_cam_01,ai_018_001@scene_cam_01_geometry,large,ai_018_001@scene_cam_01_pre,2xlarge,ai_018_001@scene_cam_01_final,9xlarge,OUTSIDE VIEWING AREA (BAD INITIALIZATION),,
ai_018_002_cam_00,ai_018_002@scene_cam_00_geometry,large,ai_018_002@scene_cam_00_pre,2xlarge,ai_018_002@scene_cam_00_final,9xlarge,Living room,,
ai_018_002_cam_01,ai_018_002@scene_cam_01_geometry,large,ai_018_002@scene_cam_01_pre,2xlarge,ai_018_002@scene_cam_01_final,9xlarge,OUTSIDE VIEWING AREA (BAD INITIALIZATION),,
ai_018_003_cam_00,ai_018_003@scene_cam_00_geometry,large,ai_018_003@scene_cam_00_pre,2xlarge,ai_018_003@scene_cam_00_final,9xlarge,Living room,,
ai_018_003_cam_01,ai_018_003@scene_cam_01_geometry,large,ai_018_003@scene_cam_01_pre,2xlarge,ai_018_003@scene_cam_01_final,9xlarge,Living room,,
ai_018_004_cam_00,ai_018_004@scene_cam_00_geometry,large,ai_018_004@scene_cam_00_pre,2xlarge,ai_018_004@scene_cam_00_final,9xlarge,Living room,,
ai_018_004_cam_01,ai_018_004@scene_cam_01_geometry,large,ai_018_004@scene_cam_01_pre,2xlarge,ai_018_004@scene_cam_01_final,9xlarge,Living room,,
ai_018_005_cam_00,ai_018_005@scene_cam_00_geometry,large,ai_018_005@scene_cam_00_pre,2xlarge,ai_018_005@scene_cam_00_final,9xlarge,Living room,,
ai_018_005_cam_01,ai_018_005@scene_cam_01_geometry,large,ai_018_005@scene_cam_01_pre,2xlarge,ai_018_005@scene_cam_01_final,9xlarge,Living room,,
ai_018_006_cam_00,ai_018_006@scene_cam_00_geometry,large,ai_018_006@scene_cam_00_pre,2xlarge,ai_018_006@scene_cam_00_final,9xlarge,Courtyard,,
ai_018_006_cam_01,ai_018_006@scene_cam_01_geometry,large,ai_018_006@scene_cam_01_pre,2xlarge,ai_018_006@scene_cam_01_final,9xlarge,Courtyard,,
ai_018_007_cam_00,ai_018_007@scene_cam_00_geometry,large,ai_018_007@scene_cam_00_pre,2xlarge,ai_018_007@scene_cam_00_final,9xlarge,Retail space,,
ai_018_007_cam_01,ai_018_007@scene_cam_01_geometry,large,ai_018_007@scene_cam_01_pre,2xlarge,ai_018_007@scene_cam_01_final,9xlarge,Retail space,,
ai_018_008_cam_00,ai_018_008@scene_cam_00_geometry,large,ai_018_008@scene_cam_00_pre,2xlarge,ai_018_008@scene_cam_00_final,9xlarge,Restaurant,,
ai_018_008_cam_01,ai_018_008@scene_cam_01_geometry,large,ai_018_008@scene_cam_01_pre,2xlarge,ai_018_008@scene_cam_01_final,9xlarge,Restaurant,,
ai_018_009_cam_00,ai_018_009@scene_cam_00_geometry,large,ai_018_009@scene_cam_00_pre,2xlarge,ai_018_009@scene_cam_00_final,9xlarge,Restaurant,,
ai_018_009_cam_01,ai_018_009@scene_cam_01_geometry,large,ai_018_009@scene_cam_01_pre,2xlarge,ai_018_009@scene_cam_01_final,9xlarge,Restaurant,,
ai_018_010_cam_00,ai_018_010@scene_cam_00_geometry,large,ai_018_010@scene_cam_00_pre,2xlarge,ai_018_010@scene_cam_00_final,9xlarge,Restaurant,,
ai_018_010_cam_01,ai_018_010@scene_cam_01_geometry,large,ai_018_010@scene_cam_01_pre,2xlarge,ai_018_010@scene_cam_01_final,9xlarge,Restaurant,,
ai_019_001_cam_00,ai_019_001@scene_cam_00_geometry,large,ai_019_001@scene_cam_00_pre,2xlarge,ai_019_001@scene_cam_00_final,9xlarge,Living room,,
ai_019_002_cam_00,ai_019_002@scene_cam_00_geometry,large,ai_019_002@scene_cam_00_pre,2xlarge,ai_019_002@scene_cam_00_final,9xlarge,Office,,
ai_019_003_cam_00,ai_019_003@scene_cam_00_geometry,large,ai_019_003@scene_cam_00_pre,2xlarge,ai_019_003@scene_cam_00_final,9xlarge,Retail space,Mall,
ai_019_004_cam_00,ai_019_004@scene_cam_00_geometry,large,ai_019_004@scene_cam_00_pre,2xlarge,ai_019_004@scene_cam_00_final,9xlarge,Living room,,
ai_019_006_cam_00,ai_019_006@scene_cam_00_geometry,large,ai_019_006@scene_cam_00_pre,2xlarge,ai_019_006@scene_cam_00_final,9xlarge,Staircase,,
ai_019_006_cam_01,ai_019_006@scene_cam_01_geometry,large,ai_019_006@scene_cam_01_pre,2xlarge,ai_019_006@scene_cam_01_final,9xlarge,Staircase,,
ai_019_007_cam_00,ai_019_007@scene_cam_00_geometry,large,ai_019_007@scene_cam_00_pre,2xlarge,ai_019_007@scene_cam_00_final,9xlarge,Courtyard,,
ai_019_008_cam_00,ai_019_008@scene_cam_00_geometry,large,ai_019_008@scene_cam_00_pre,2xlarge,ai_019_008@scene_cam_00_final,9xlarge,Other,Office (indoor courtyard area),
ai_019_009_cam_00,ai_019_009@scene_cam_00_geometry,large,ai_019_009@scene_cam_00_pre,2xlarge,ai_019_009@scene_cam_00_final,9xlarge,Staircase,,
ai_021_001_cam_00,ai_021_001@scene_cam_00_geometry,2xlarge,ai_021_001@scene_cam_00_pre,2xlarge,ai_021_001@scene_cam_00_final,9xlarge,Living room,,
ai_021_001_cam_01,ai_021_001@scene_cam_01_geometry,2xlarge,ai_021_001@scene_cam_01_pre,2xlarge,ai_021_001@scene_cam_01_final,9xlarge,Living room,,
ai_021_002_cam_00,ai_021_002@scene_cam_00_geometry,2xlarge,ai_021_002@scene_cam_00_pre,2xlarge,ai_021_002@scene_cam_00_final,9xlarge,Living room,,
ai_021_003_cam_00,ai_021_003@scene_cam_00_geometry,2xlarge,ai_021_003@scene_cam_00_pre,2xlarge,ai_021_003@scene_cam_00_final,9xlarge,Bedroom,,
ai_021_007_cam_00,ai_021_007@scene_cam_00_geometry,2xlarge,ai_021_007@scene_cam_00_pre,2xlarge,ai_021_007@scene_cam_00_final,9xlarge,Living room,,
ai_021_008_cam_00,ai_021_008@scene_cam_00_geometry,2xlarge,ai_021_008@scene_cam_00_pre,2xlarge,ai_021_008@scene_cam_00_final,9xlarge,Kitchen,,
ai_021_008_cam_01,ai_021_008@scene_cam_01_geometry,2xlarge,ai_021_008@scene_cam_01_pre,2xlarge,ai_021_008@scene_cam_01_final,9xlarge,Living room,,
ai_021_008_cam_02,ai_021_008@scene_cam_02_geometry,2xlarge,ai_021_008@scene_cam_02_pre,2xlarge,ai_021_008@scene_cam_02_final,9xlarge,Kitchen,Copyrighted material (poster on wall),
ai_021_008_cam_03,ai_021_008@scene_cam_03_geometry,2xlarge,ai_021_008@scene_cam_03_pre,2xlarge,ai_021_008@scene_cam_03_final,9xlarge,OUTSIDE VIEWING AREA (BAD INITIALIZATION),,
ai_021_009_cam_00,ai_021_009@scene_cam_00_geometry,2xlarge,ai_021_009@scene_cam_00_pre,2xlarge,ai_021_009@scene_cam_00_final,9xlarge,Living room,,
ai_021_009_cam_01,ai_021_009@scene_cam_01_geometry,2xlarge,ai_021_009@scene_cam_01_pre,2xlarge,ai_021_009@scene_cam_01_final,9xlarge,Living room,,
ai_021_010_cam_00,ai_021_010@scene_cam_00_geometry,2xlarge,ai_021_010@scene_cam_00_pre,2xlarge,ai_021_010@scene_cam_00_final,9xlarge,Living room,,
ai_022_001_cam_00,ai_022_001@scene_cam_00_geometry,2xlarge,ai_022_001@scene_cam_00_pre,2xlarge,ai_022_001@scene_cam_00_final,9xlarge,Other,Classroom,
ai_022_002_cam_00,ai_022_002@scene_cam_00_geometry,2xlarge,ai_022_002@scene_cam_00_pre,2xlarge,ai_022_002@scene_cam_00_final,9xlarge,Office,,
ai_022_003_cam_00,ai_022_003@scene_cam_00_geometry,2xlarge,ai_022_003@scene_cam_00_pre,2xlarge,ai_022_003@scene_cam_00_final,9xlarge,Bathroom,,
ai_022_003_cam_01,ai_022_003@scene_cam_01_geometry,2xlarge,ai_022_003@scene_cam_01_pre,2xlarge,ai_022_003@scene_cam_01_final,9xlarge,Bathroom,,
ai_022_004_cam_00,ai_022_004@scene_cam_00_geometry,2xlarge,ai_022_004@scene_cam_00_pre,2xlarge,ai_022_004@scene_cam_00_final,9xlarge,Bathroom,,
ai_022_004_cam_01,ai_022_004@scene_cam_01_geometry,2xlarge,ai_022_004@scene_cam_01_pre,2xlarge,ai_022_004@scene_cam_01_final,9xlarge,Bathroom,,
ai_022_005_cam_00,ai_022_005@scene_cam_00_geometry,2xlarge,ai_022_005@scene_cam_00_pre,2xlarge,ai_022_005@scene_cam_00_final,9xlarge,Living room,,
ai_022_006_cam_00,ai_022_006@scene_cam_00_geometry,2xlarge,ai_022_006@scene_cam_00_pre,2xlarge,ai_022_006@scene_cam_00_final,9xlarge,Restaurant,,
ai_022_007_cam_00,ai_022_007@scene_cam_00_geometry,2xlarge,ai_022_007@scene_cam_00_pre,2xlarge,ai_022_007@scene_cam_00_final,9xlarge,Living room,,
ai_022_008_cam_00,ai_022_008@scene_cam_00_geometry,2xlarge,ai_022_008@scene_cam_00_pre,2xlarge,ai_022_008@scene_cam_00_final,9xlarge,OUTSIDE VIEWING AREA (BAD INITIALIZATION),,No
ai_022_009_cam_00,ai_022_009@scene_cam_00_geometry,2xlarge,ai_022_009@scene_cam_00_pre,2xlarge,ai_022_009@scene_cam_00_final,9xlarge,Living room,,
ai_022_010_cam_00,ai_022_010@scene_cam_00_geometry,2xlarge,ai_022_010@scene_cam_00_pre,2xlarge,ai_022_010@scene_cam_00_final,9xlarge,Kitchen,,
ai_023_001_cam_00,ai_023_001@scene_cam_00_geometry,2xlarge,ai_023_001@scene_cam_00_pre,2xlarge,ai_023_001@scene_cam_00_final,9xlarge,Library,,
